Call sign,Frequency,City of License [1][2],Licensee,Format [3]
KKLB,91.3 FM,Ruidoso,Educational Media Foundation,
KKNS,1310 AM,Corrales,"El Camino Communications, LLC",Spanish Oldies
KKOB,770 AM,Albuquerque,"Radio License Holding CBC, LLC",News/Talk
KKOB-FM,93.3 FM,Albuquerque,"Radio License Holding CBC, LLC",Top 40
KKRG,101.3 FM,Albuquerque,Univision Radio License Corporation,Classic Hip Hop
KKSC-LP,100.1 FM,Silver City,Calvary Chapel of Silver City,
KKSS,97.3 FM,Santa Fe,Univision Radio License Corporation,Rhythmic Top 40
KKTC,99.9 FM,Angel Fire,DMC Broadcasting,Country
KKYC,102.3 FM,Clovis,Tallgrass Broadcasting,Classic Rock
KLAG,91.7 FM,Alamogordo,Educational Media Foundation,Community
KLBU,102.9 FM,Pecos,"Hutton Broadcasting, LLC",Chill/Electronica
KLCF,91.1 FM,Truth or Consequence,Educational Media Foundation,
KLDK-LP,96.5 FM,Dixon,Embudo Valley Community Library,
KLEA,630 AM,Lovington,Lea County Broadcasting,
KLEA-FM,101.7 FM,Lovington,Lea County Broadcasting,Oldies
KLHK,90.9 FM,Hobbs,Educational Media Foundation,Christian Contemporary
KLLU,88.9 FM,Gallup,Educational Media Foundation,Christian Contemporary
KLMA,96.5 FM,Hobbs,Ojeda Broadcasting,Regional Mexican and Tejano
KLMX,1450 AM,Clayton,Jimmy and Melba McCollum,
KLMX-FM,97.5 FM,Clayton,Jimmy N. McCollum,
KLNN,103.7 FM,Questa,West Waves,Adult Contemporary
KLQT,95.1 FM,Corrales,"Clear Channel Broadcasting Licenses, Inc.",Rhythmic Oldies
KLRS,90.1 FM,Carlsbad,Educational Media Foundation,
KLVF,100.7 FM,Las Vegas,"Baca Broadcasting, LLC",Adult Contemporary
KLVO,97.7 FM,Belen,"AGM Nevada, LLC",Regional Mexican
KLYN-LP,95.7 FM,Las Vegas,The Rock Christian Outreach,
KLYT,88.3 FM,Albuquerque,"Calvary Chapel of Albuquerque, Inc.",Christian Rock
KMBN,89.7 FM,Las Cruces,The Moody Bible Institute of Chicago,
KMDZ,96.7 FM,Las Vegas,Sangre de Cristo Broadcasting,Adult Hits
KMGA,99.5 FM,Albuquerque,"Radio License Holding CBC, LLC",Adult Contemporary
KMGG-LP,99.9 FM,Albuquerque,Future Broadcasters Inc.,
KMIN,980 AM,Grants,KD Radio,Classic Country
KMOU,104.7 FM,Roswell,"Majestic Broadcasting, LLC",Country
KMRD-LP,96.9 FM,Madrid,Madrid Cultural Projects,Variety
